TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
272349442,interevent,1572.8403932953624,1574.9792859169006,2.1388926215381616,0.3200179618917819
272349442,interevent,1574.9792859169006,1575.4112305178191,0.4319446009185412,0.06462691462122302
272349442,interevent,1575.4112305178191,1581.5348149481897,6.123584430370556,0.916201677983333
272349442,interevent,1581.5348149481897,1587.418086284316,4.8832713361262,0.7306278607047798
272349442,interevent,1587.418086284316,1587.4653080089302,0.0472217246142463,0.007065244844876132
272349442,interevent,1587.4653080089302,1589.470840317655,2.0055323087249235,0.30006478842529355
272349442,interevent,1589.470840317655,1590.6708242589093,1.1999839412542317,0.17953982884231265
272349442,interevent,1590.6708242589093,1591.6555319660524,0.9847077071431158,0.14733051595290064
272349442,interevent,1591.6555319660524,1593.7916066785306,2.1360747124781483,0.31959635049105
272349442,interevent,2282.2482049845444,2283.827404064125,1.579199079580576,0.23627743897929804
272349442,interevent,2283.827404064125,2283.834348646089,0.006944581964035,0.0010390381190443774
272349442,interevent,2283.834348646089,2284.017685593734,0.1833369476448751,0.027430603918106252
272349442,interevent,2284.017685593734,2285.581603902342,1.5639183086082085,0.23399115254608968
272349442,interevent,2285.581603902342,2285.8788314210565,0.2972275187144078,0.04447074331797594
272349442,interevent,2285.8788314210565,2286.805236195976,0.9264047749193196,0.13860731715615304
272349442,interevent,2286.805236195976,2288.3399825957367,1.534746399760934,0.2296264945357759
272349442,interevent,2288.3399825957367,2288.621931181221,0.2819485854843151,0.042184731845058415
272349442,interevent,2288.621931181221,2289.228884209301,0.60695302808017,0.09081141757858739
272349442,interevent,2289.228884209301,2289.3816640751274,0.1527798658262327,0.022858698369182515
272349442,interevent,2289.3816640751274,2291.544190175204,2.162526100076775,0.3235539681214454
272349442,interevent,2291.544190175204,2291.8539155318326,0.3097253566284053,0.0463406514082732
272349442,interevent,2291.8539155318326,2292.3622535960726,0.5083380642399788,0.07605679202030445
272349442,interevent,2292.3622535960726,2298.1164666845075,4.816713088434881,0.7206695137738586
272349442,interevent,2298.1164666845075,2299.4984193078863,1.3819526233787656,0.20676571488971462
272349442,interevent,2299.4984193078863,2301.5984275595656,2.1000082516793555,0.314200139778434
272349442,interevent,2301.5984275595656,2303.4428747531074,1.8444471935417823,0.2759634708869965
272349442,interevent,2303.4428747531074,2304.045652400788,0.6027776476807958,0.0901867033166018
272349442,interevent,2304.045652400788,2304.6900960531566,0.644443652368409,0.09642070953366681
272349442,interevent,2304.6900960531566,2308.14147263788,2.2013765847232207,0.32936672037925746
272349442,interevent,2308.14147263788,2308.2623056565503,0.1208330186705097,0.018078858178658796
272349442,interevent,2308.2623056565503,2308.972025842548,0.7097201859978668,0.10618728829554823
272349442,interevent,2308.972025842548,2309.1359142047886,0.1638883622404137,0.024520735231786626
272349442,interevent,2309.1359142047886,2309.2456360611905,0.1097218564018476,0.01641642245483596
272349442,interevent,2309.2456360611905,2310.3067430401047,1.0611069789142675,0.15876126240366822
272349442,interevent,2310.3067430401047,2311.215071925437,0.9083288853321392,0.1359028291950368
272349442,interevent,2311.215071925437,2313.5622785201904,2.347206594753516,0.3511855915664386
272349442,interevent,2313.5622785201904,2314.0622743923723,0.4999958721818984,0.07480864553868405
272349442,interevent,2314.0622743923723,2318.806663349041,4.7443889566689,0.709848483765023
272349442,interevent,2318.806663349041,2323.221872054569,3.220764261497152,0.4818860022795301
