TIC,Sector,Orbit,Start_BTJD,End_BTJD
14330418,44,95,2500.1875831289217,2511.7223053518683
14330418,44,96,2513.2014604443684,2519.4167382232845
14330418,44,96,2519.4236826677807,2524.4375715572387
15363163,64,135,3041.108636408113,3048.1132544633
15363163,64,135,3048.3239026116207,3054.752143351827
15363163,64,135,3054.754458166659,3055.078532240819
15363163,64,136,3055.289180388674,3062.21742112888
15363163,64,136,3062.428069277201,3068.029921127949
15444490,10,27,1569.4379882598296,1581.771321593318
15444490,10,28,1582.771321593318,1595.667143351864
15444490,11,29,1596.7713100183755,1609.6879766830243
15444490,11,30,1610.7921433495358,1623.875465106219
15444490,37,81,2307.2362868711352,2319.0279419636354
15444490,37,82,2320.222386407666,2332.576553073246
15444490,64,135,3041.108636408113,3048.1132544633
15444490,64,135,3048.3239026116207,3054.752143351827
15444490,64,135,3054.754458166659,3055.078532240819
15444490,64,136,3055.289180388674,3062.21742112888
15444490,64,136,3062.428069277201,3068.029921127949
15446998,10,27,1569.4379882598296,1581.771321593318
15446998,10,28,1582.771321593318,1595.667143351864
15446998,11,29,1596.7713100183755,1609.6879766830243
15446998,11,30,1610.7921433495358,1623.875465106219
15523450,64,135,3041.108636408113,3048.1132544633
15523450,64,135,3048.3239026116207,3054.752143351827
15523450,64,135,3054.754458166659,3055.078532240819
15523450,64,136,3055.289180388674,3062.21742112888
15523450,64,136,3062.428069277201,3068.029921127949
15760655,44,95,2500.1875831289217,2511.7223053518683
15760655,44,96,2513.2014604443684,2519.4167382232845
15760655,44,96,2519.4236826677807,2524.4375715572387
15815612,43,93,2474.166761370376,2486.1250831289217
15815612,43,94,2487.180638684425,2498.888972017914
15815612,44,95,2500.1875831289217,2511.7223053518683
15815612,44,96,2513.2014604443684,2519.4167382232845
15815612,44,96,2519.4236826677807,2524.4375715572387
15934387,43,93,2474.166761370376,2486.1250831289217
15934387,43,94,2487.180638684425,2498.888972017914
15934387,44,95,2500.1875831289217,2511.7223053518683
15934387,44,96,2513.2014604443684,2519.4167382232845
15934387,44,96,2519.4236826677807,2524.4375715572387
16004519,43,93,2474.166761370376,2486.1250831289217
16004519,43,94,2487.180638684425,2498.888972017914
17336502,43,93,2474.166761370376,2486.1250831289217
17336502,43,94,2487.180638684425,2498.888972017914
17387985,43,93,2474.166761370376,2486.1250831289217
17387985,43,94,2487.180638684425,2498.888972017914
17509396,12,31,1624.958798439242,1638.9796317690052
17509396,12,32,1640.0421317685395,1652.875453523826
19330721,43,93,2474.166761370376,2486.1250831289217
19330721,43,94,2487.180638684425,2498.888972017914
19330721,44,95,2500.1875831289217,2511.7223053518683
19330721,44,96,2513.2014604443684,2519.4167382232845
19330721,44,96,2519.4236826677807,2524.4375715572387
19400360,43,93,2474.166761370376,2486.1250831289217
19400360,43,94,2487.180638684425,2498.888972017914
20096356,5,17,1437.97971276287,1450.1880460991524
20096356,5,18,1451.563046099618,1464.2713678628206
20096356,6,19,1468.2713678642176,1477.0213678670116
20096356,6,20,1478.1047012005,1490.0421896306798
20096356,32,71,2174.222455819603,2185.9377220263705
20096356,32,72,2186.9446664713323,2200.2293886975385
20096356,33,73,2201.729388698004,2213.86132157268
20096356,33,74,2215.430766017642,2227.5696549103595
20308433,43,93,2474.166761370376,2486.1250831289217
20308433,43,94,2487.180638684425,2498.888972017914
20308433,44,95,2500.1875831289217,2511.7223053518683
20308433,44,96,2513.2014604443684,2519.4167382232845
20308433,44,96,2519.4236826677807,2524.4375715572387
20308433,45,97,2525.507016001735,2537.979226652533
20308433,45,98,2539.1389488750137,2550.625059989281
20308434,43,93,2474.166761370376,2486.1250831289217
20308434,43,94,2487.180638684425,2498.888972017914
20308434,44,95,2500.1875831289217,2511.7223053518683
20308434,44,96,2513.2014604443684,2519.4167382232845
20308434,44,96,2519.4236826677807,2524.4375715572387
20308434,45,97,2525.507016001735,2537.979226652533
20308434,45,98,2539.1389488750137,2550.625059989281
21011493,64,135,3041.108636408113,3048.1132544633
21011493,64,135,3048.3239026116207,3054.752143351827
21011493,64,135,3054.754458166659,3055.078532240819
