TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,calendar_days,unobserved_days,overlaps_corrupted_orbit,match_type_curr
7785194,interevent,2150.3205415476464,2166.7568245402585,15.026560770131255,16.436282992612178,1.409722222480923,False,exact
7785194,interevent,2166.7568245402585,2181.299820283262,10.265217964087242,14.542995743003303,4.277777778916061,False,exact
7785194,interevent,2181.299820283262,2183.045629517876,1.7458092346141711,1.7458092346141711,0.0,False,exact
7785194,interevent,2183.045629517876,2191.2941109575345,7.241536994696617,8.248481439658462,1.0069444449618459,False,exact
7785194,final_censored,2191.2941109575345,2200.2293886975385,8.93527774000404,8.93527774000404,0.0,False,
7807668,initial,2144.514134055469,2168.3720989768435,22.44824269889341,23.857964921374332,1.409722222480923,False,exact
7807668,interevent,2168.3720989768435,2168.395710080459,0.023611103615621687,0.023611103615621687,0.0,False,exact
7807668,final_censored,2168.395710080459,2169.944678040687,1.5489679602278557,1.5489679602278557,0.0,False,
8511113,initial,2333.854319276754,2345.1355247217616,11.2812054450078,11.2812054450078,0.0,False,exact
8511113,interevent,2345.1355247217616,2345.635535897656,0.5000111758945422,0.5000111758945422,0.0,False,exact
8511113,interevent,2345.635535897656,2345.7897059254383,0.15417002778212918,0.15417002778212918,0.0,False,exact
8511113,interevent,2345.7897059254383,2345.9327645560056,0.1430586305673387,0.1430586305673387,0.0,False,exact
8511113,interevent,2345.9327645560056,3071.780970059807,16.69805503615953,725.8482055038012,709.1501504676417,False,exact
8511113,interevent,3071.780970059807,3072.715713164264,0.934743104457084,0.934743104457084,0.0,False,exact
8511113,interevent,3072.715713164264,3073.662955561628,0.9472423973643345,0.9472423973643345,0.0,False,exact
8511113,final_censored,3073.662955561628,3096.58777991822,22.29056509772954,22.92482435659167,0.6342592588621301,False,
11244460,initial,2718.631935013924,2726.916146216293,8.277266757872894,8.284211202369079,0.0069444444961845875,False,exact
11244460,final_censored,2726.916146216293,2743.0763678778894,15.01438832857366,16.16022166159655,1.1458333330228925,False,
12359032,initial,1354.1047474853694,1356.338204940849,2.233457455479538,2.233457455479538,0.0,False,exact
12359032,interevent,1356.338204940849,1357.654896893094,1.316691952245037,1.316691952245037,0.0,False,exact
12359032,interevent,1357.654896893094,1358.4382440662855,0.783347173191487,0.783347173191487,0.0,False,exact
12359032,interevent,1358.4382440662855,1370.057807831546,10.161242006248813,11.61956376526041,1.4583217590115964,False,exact
12359032,interevent,1370.057807831546,1377.157771091893,7.099963260347067,7.099963260347067,0.0,False,exact
12359032,final_censored,1377.157771091893,1381.5005692406558,4.342798148762768,4.342798148762768,0.0,False,
12359212,initial,2088.2363794292323,2090.976842036033,2.74046260680052,2.74046260680052,0.0,False,exact
12359212,final_censored,2090.976842036033,2114.430812295992,22.50258137143237,23.45397025995908,0.9513888885267079,False,
12377787,initial,1354.1047474853694,1354.843710315419,0.7389628300495588,0.7389628300495588,0.0,False,exact
12377787,final_censored,1354.843710315419,1381.5005692406558,25.19853716622515,26.656858925236747,1.4583217590115964,False,
12377897,initial,2088.2363794292323,2088.785110271309,0.5487308420765658,0.5487308420765658,0.0,False,exact
12377897,final_censored,2088.785110271309,2114.430812295992,24.694313136156325,25.645702024683033,0.9513888885267079,False,
12377912,initial,2088.2363794292323,2092.3393364204994,4.102956991267092,4.102956991267092,0.0,False,exact
12377912,final_censored,2092.3393364204994,2114.430812295992,21.140086986965798,22.091475875492506,0.9513888885267079,False,
12393842,initial,2088.2363794292323,2092.7004356617867,4.464056232554412,4.464056232554412,0.0,False,exact
12393842,interevent,2092.7004356617867,2107.372703568022,13.72087901770874,14.672267906235447,0.9513888885267079,False,exact
12393842,final_censored,2107.372703568022,2114.430812295992,7.0581087279697385,7.0581087279697385,0.0,False,
12394898,initial,1354.1047474853694,1372.639742655678,17.07667341129695,18.534995170308548,1.4583217590115964,False,exact
12394898,final_censored,1372.639742655678,1381.5005692406558,8.860826584977758,8.860826584977758,0.0,False,
12394976,initial,2088.2363794292323,2104.839422196719,15.651653878960133,16.60304276748684,0.9513888885267079,False,exact
12394976,final_censored,2104.839422196719,2114.430812295992,9.591390099272758,9.591390099272758,0.0,False,
12418075,initial,2088.2363794292323,2090.2462433575984,2.0098639283660304,2.0098639283660304,0.0,False,exact
12418075,final_censored,2090.2462433575984,2114.430812295992,23.23318004986686,24.184568938393568,0.9513888885267079,False,
12418282,initial,2088.2363794292323,2109.1518447778026,19.964076460043543,20.91546534857025,0.9513888885267079,False,exact
12418282,final_censored,2109.1518447778026,2114.430812295992,5.278967518189347,5.278967518189347,0.0,False,
