,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma
29,166527623.0,2334.9796171428634,2334.9726726959157,2335.0212838240855,0.019717989244371736,48.613420437712136,primary_failed_dbl_fit,35,35,20.028899405233506
30,166527623.0,2335.171283875277,2335.167117207201,2335.1935061048584,0.0068987348327322895,6.781477775255598,primary,19,8,7.00751300123645
31,166527623.0,2340.212941959876,2340.212941959876,2340.2198863732956,0.0037957843235767452,1.4476301745224835,primary,5,3,3.855635655272582
32,166527623.0,2342.0143207177125,2342.0115429588645,2342.01987623541,0.00580280782435505,3.0854798823997247,primary,6,7,5.894305587730448
33,166527623.0,2346.16844610602,2346.16705723684,2346.1837236656015,0.004174789769407772,3.214119861651114,primary,12,3,4.240617199511536
34,361815724.0,3105.6894079257854,3105.6880190561674,3105.701907752357,0.2755052917776901,169.76843185603587,primary,10,6,6.460201032852748
35,361815724.0,3115.67119275717,3115.67119275717,3115.6864702140138,0.24203239111822428,166.245582838744,primary,11,4,5.675309875163668
36,46633710.0,2506.011146172239,2506.0083682527275,2506.047259119362,3.1609736457539954,2373.615599738091,primary,28,25,131.91399728813954
37,67318521.0,3045.922321569303,3045.9209326624214,3045.9389884516536,0.13849005640490075,121.40688717750834,primary,13,10,7.05283499841434
38,67318521.0,3052.6182197414278,3052.6084974544888,3052.643219907444,0.2221373505891655,281.354524765227,primary,25,16,11.312711694692199
39,67318521.0,3059.577958125004,3059.577958125004,3059.582124782319,0.11937862922796372,22.98761389542584,primary,2,3,6.079553984873078
40,24448282.0,2205.9275930566505,2205.926204184914,2205.938704031715,0.23204422983510598,96.35151069602345,primary,9,6,15.591387479328885
41,24448282.0,2216.0732403985808,2216.0704626702395,2216.0801847190837,0.08884945458584403,41.788824234001694,primary,7,5,5.969923383827876
42,24448282.0,2222.1661515372084,2222.1661515372084,2222.1730957843697,0.10757482020161069,32.167479588193785,primary,5,4,7.228107787788219
43,301091083.0,2897.823172505162,2897.821783613663,2897.8273391796574,0.09194860566307139,25.838866932635973,primary,4,3,6.0952076113884655
44,301091083.0,2908.5897638183696,2908.5883749529485,2908.6133745305424,0.1782013835106404,146.13694105862282,primary,18,11,11.81284285173497
45,378413560.0,1601.5287257561017,1601.5273368801434,1601.5481700188197,0.15251059130178435,71.42783731205502,primary,15,10,21.64525061274134
46,378413560.0,1616.5507015567227,1616.5479238348412,1616.5534792788376,0.04735928878522788,12.377137487665278,primary,3,3,6.721524491167941
47,378413560.0,1617.7117888377434,1617.7062333988697,1617.727066294703,0.040866377360782025,34.97786691383554,primary,15,8,5.800010163613054
48,378413560.0,1621.8116948040206,1621.8103059501814,1621.8200279268244,0.041060745998810155,18.971273640925258,primary,7,6,5.827596168266666
49,378413560.0,1622.7338930376368,1622.7338930376368,1622.7408372954246,0.036939766215511094,13.482751290952473,primary,5,5,5.242721115208597
50,378126824.0,2311.653438643935,2311.652049746585,2311.6742721046485,0.1253512679202582,85.0608292794875,primary,16,12,22.236077971730886
51,378126824.0,2315.577066691753,2315.571511122843,2315.588177829805,0.05420228681893735,43.4499028347895,primary,12,10,9.614950817399995
52,378126824.0,2315.9173452376654,2315.9159563459034,2315.924289696476,0.034259738089412295,14.565842845399455,primary,6,6,6.077339464423035
53,378126824.0,2318.461791239382,2318.461791239382,2318.55206891193,0.14117689414308288,250.95632959894982,primary,65,57,25.04338789751527
54,378126824.0,2318.521513393521,2318.517346731739,2318.521513393521,0.02067351641778914,6.781366890751804,secondary,1,1,3.6672778077382775
55,378126824.0,2329.078419312568,2329.071474922444,2329.0825859466427,0.028361892043918147,13.90058408336433,primary,8,3,5.031119775474217
56,176980970.0,3075.5136165107515,3075.5122276236134,3075.5469498013117,0.07701248884704648,112.3300812247814,primary,24,17,10.215215490423276
57,176980970.0,3079.7149961163495,3079.7136072314806,3079.7247183103673,0.030481803135933738,16.21823460181233,primary,8,3,4.043216785119714
58,278863889.0,2967.352805173753,2967.3500273912096,2967.361138521267,0.21151633951515048,96.01606391752179,primary,8,7,14.691331331234593
59,278863889.0,2983.615292872913,2983.61251510696,2983.618070638926,0.05766048439428939,18.450341480168323,primary,4,4,4.004935424363802
60,238314110.0,2302.33450347584,2302.333114620985,2302.370613699987,0.7656483184946439,386.6350061972314,primary,27,26,89.4524155547912
61,125737046.0,2504.9207024431953,2504.9151465748364,2504.9248693450463,0.10315934261325688,53.44584814318994,primary,7,7,7.850609222347386
62,436998675.0,3042.6441931578843,3042.6261370743528,3042.6747496061494,0.0049703363003361645,14.788758840267302,primary,35,18,4.309254156658786
63,436998675.0,3044.5373016170383,3044.5373016170383,3044.558135509443,0.01202297048706269,8.730292132841244,primary,15,10,10.423849095131988
64,436998675.0,3048.6360147047294,3048.6360147047294,3048.638792546433,0.0047218506684800765,0.5470491605736842,primary,2,3,4.0938184844541885
65,436998675.0,3050.145770760228,3050.131881568474,3050.216605635891,0.011511862284460328,39.775514587317645,primary,61,45,9.98072110268253
