Unnamed: 0,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma,Sector,Orbit,match_type
13338,400598180,2297.8409475181047,2297.8395586473,2297.8562250955565,0.0073290231617988,7.053069250896188,primary,12,8,5.90759023989416,36,80,exact
13339,400598180,2300.328411430809,2300.3270225641954,2300.339522365114,0.008602991784582,4.252918076618463,primary,9,5,6.934478057784214,36,80,exact
13340,400598180,2301.968661507131,2301.9644949149742,2301.971439235469,0.0071570786969596,2.8344828912066022,primary,4,4,5.7689936739040135,36,80,exact
13341,400598180,2303.9894560452644,2303.9852894645155,2304.0422327323363,0.0206883862532203,35.12963841062468,primary,40,21,16.675961585948592,36,80,exact
13342,400598180,2305.799138002449,2305.794971436137,2305.826915109804,0.0125278595781668,18.50724256279057,primary,21,19,10.098134408484793,36,80,exact
13343,406378155,3082.446346708888,3082.4435689743104,3082.46023538318,0.0216134774364333,15.200464200503047,primary,12,10,11.449923785211208,65,137,exact
13344,381949410,2146.372746093735,2146.3630238159817,2146.3880239586933,0.012549460957391,14.521028764258409,primary,18,13,6.8990444529088935,31,69,exact
13345,381949410,2149.0866472290923,2149.0866472290923,2149.090813910212,0.0093488108886359,2.009627224076417,primary,3,3,5.139492614186876,31,69,exact
13346,381949410,2151.671376155797,2151.671376155797,2151.682487286435,0.0145784724752844,9.218383398837233,primary,8,9,8.014490025028557,31,69,exact
13347,381949410,2153.3880449308085,2153.385267151117,2153.3963782698816,0.0075784561175611,4.338918513726075,primary,7,3,4.166243141198878,31,69,exact
13348,381949410,2153.931100773696,2153.929711884374,2153.9352674418938,0.0096725647640953,2.582215195088239,primary,4,3,5.317475747181994,31,69,exact
13349,381949410,2163.5797181985904,2163.5797181985904,2163.5908292996205,0.0103524787278028,5.390492672227276,primary,8,6,5.691257272595541,31,70,exact
13350,381949410,2165.971380757868,2165.9686029871204,2165.9769362995926,0.0116951509167997,4.062557790097419,primary,6,4,6.429388985903775,31,70,exact
13351,381949410,2167.807486223727,2167.796375153197,2167.8158195266533,0.0093429194853165,8.9555390256935,primary,14,9,5.136253825403147,31,70,exact
13352,116615215,2904.172206222782,2904.170817335939,2904.216650599405,1.3953732130961778,1013.1766554758811,primary,33,17,38.118556221633405,58,124,exact
13353,385345787,2883.044913378627,2883.0393576291626,2883.064358502688,0.0370018869889696,47.895030203483984,primary,18,9,5.325433516126349,58,123,exact
13354,385345787,2887.9992420267663,2887.997853097549,2888.0297984718754,0.3890543674372888,244.1739015496143,primary,23,19,55.99398670028656,58,123,exact
13355,385345787,2888.647871696977,2888.647871696977,2888.652038480438,0.0483314409685962,7.495751250803781,primary,3,3,6.956020261711831,58,123,exact
13356,385345787,2901.830059995425,2901.830059995425,2901.83561561171,0.0394654823609197,9.340682023281632,primary,4,3,5.6800022808995525,58,124,exact
13357,385345787,2903.996746294621,2903.9953573956727,2904.000912991005,0.0421314760829025,10.999187993873674,primary,4,3,6.063700883218461,58,124,exact
13358,385345787,2905.0703640984734,2905.067586306164,2905.087030852339,0.1055768551031859,86.33928008876066,primary,14,13,15.194968917702145,58,124,exact
13359,176980970,2232.6534675616263,2232.6520786595934,2232.660412071866,0.0232036340258878,11.906826934923153,primary,6,3,3.363103275887035,34,75,exact
13360,176980970,2235.1034901591484,2235.1021012577557,2235.1062679619195,0.0384205896104121,7.991988663528929,primary,3,4,5.568628200053863,34,75,exact
