TIC,n_flares,n_primary,n_secondary,first_flare_btjd,last_flare_btjd,n_observed_sectors,has_gap_fallback_sector,exposure_days,obs_start_btjd,obs_end_btjd,flare_rate_per_day
34883452,2,2,0,2890.39779902512,2907.1755457818,1,False,27.092581023927778,2882.323983593378,2910.048509061802,0.07382094744807181
34885758,3,3,0,2451.804604938131,2515.296464112194,2,False,47.30554397962942,2447.687606282532,2524.4375715572387,0.06341751405061216
34942528,2,2,0,2490.1867998160105,2900.575604882498,2,False,50.75923611596227,2474.166761370376,2910.048509061802,0.039401696184530634
35001854,28,27,1,1601.939992395986,3095.6827929370206,4,False,105.80319442134419,1596.7713100183755,3096.58777991822,0.2646422932042534
35024972,8,7,1,2454.028197496498,2893.068636168865,3,False,75.30089120427101,2447.687606282532,2910.048509061802,0.10624044247096834
35118678,4,4,0,2452.661341134272,2491.357624169133,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.08297324641822823
35154714,3,3,0,2479.7007500306936,2496.945128395241,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.12676062537496957
35155385,1,1,0,2466.362089909692,2466.362089909692,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.040747048086271255
35155558,10,10,0,2449.1118206628166,2520.5991539621973,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.14090024165522247
35155659,7,7,0,2465.8537265558084,2523.5381313722564,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.09863016915865572
35155775,4,4,0,2448.338141251345,2505.558207073432,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.056360096662088986
35156014,3,3,0,2462.877066930067,2507.1833060443023,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.04227007249656674
35156034,4,4,0,2491.25312168182,2515.2420225075457,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.0861501859946753
35156120,1,1,0,2504.6817742055573,2504.6817742055573,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
35156210,1,1,0,2507.020788224315,2507.020788224315,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
35156221,1,1,0,2509.579248831089,2509.579248831089,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
35156235,3,3,0,2462.046417101477,2515.1239558197863,2,False,47.30554397962942,2447.687606282532,2524.4375715572387,0.06341751405061216
35156250,1,1,0,2496.120115250682,2496.120115250682,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.042253541791656524
35156413,4,4,0,2476.1449208536787,2490.189131104181,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.1690141671666261
35156755,3,3,0,2455.716620979593,2502.8872007311065,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.04227007249656674
35156829,1,1,0,2516.747613490424,2516.747613490424,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
35156991,4,4,0,2452.569079210596,2491.4308662512576,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.08297324641822823
35157428,9,9,0,2454.508136954033,2518.88795448205,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.12681021748970023
35159411,4,3,1,2453.530303702656,2498.11190469589,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.08297324641822823
35159478,3,3,0,2461.767192678942,2469.8887927175124,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.12224114425881376
35159560,1,1,0,2494.471379421625,2494.471379421625,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.042253541791656524
35159657,1,1,0,2455.923574456559,2455.923574456559,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.040747048086271255
35159699,5,5,0,2461.8755352762805,2522.088085053253,2,False,47.30554397962942,2447.687606282532,2524.4375715572387,0.10569585675102026
35159780,3,3,0,2476.5046475407808,2508.4013895119087,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.06461263949600649
